   0,0.00000
  10,1.51543
  20,2.22995
  30,2.63177
  40,2.82256
  50,2.98506
  60,3.12196
  70,3.22940
  80,3.33613
  90,3.41005
 100,3.45257
 110,3.52422
 120,3.61003
 130,3.67227
 140,3.74757
 150,3.83217
 160,3.85940
 170,3.87344
 180,3.92555
 190,3.97125
 200,3.98721
 210,4.05325
 220,4.09915
 230,4.14442
 240,4.20964
 250,4.27997
 260,4.32979
 270,4.33167
 280,4.32485
 290,4.33979
 300,4.37207
 310,4.45168
 320,4.42557
 330,4.42623
 340,4.46800
 350,4.56166
 360,4.60379
 370,4.62350
 380,4.69893
 390,4.71555
 400,4.73647
 410,4.75477
 420,4.79482
 430,4.81884
 440,4.83820
 450,4.89193
 460,4.93082
 470,5.02017
 480,5.05756
 490,5.09667
 500,5.11451
 510,5.16438
 520,5.24636
 530,5.30874
 540,5.36282
 550,5.40198
 560,5.42386
 570,5.41242
 580,5.42360
 590,5.51098
 600,5.49462
 610,5.43989
 620,5.46984
 630,5.49908
 640,5.60756
 650,5.68779
 660,5.71555
 670,5.76269
 680,5.77608
 690,5.76931
 700,5.77012
 710,5.75769
 720,5.71833
 730,5.73719
 740,5.80033
 750,5.89936
 760,5.94634
 770,6.00461
 780,6.04857
 790,6.11783
 800,6.16154
 810,6.14489
 820,6.23608
 830,6.30278
 840,6.33991
 850,6.31246
 860,6.38496
 870,6.34412
 880,6.39740
 890,6.47876
 900,6.43667
 910,6.40585
 920,6.55106
 930,6.59539
 940,6.55375
 950,6.67166
 960,6.69700
 970,6.65442
 980,6.81972
